class,precision,recall,f1-score,support,Category,dataset
macro avg,0.7627909723938714,0.7223700868901703,0.7237164452299951,25059.0,Overall,1
weighted avg,0.7750841295281133,0.7444830200726286,0.742392953005267,25059.0,Overall,1
Conifer,0.8451813851227555,0.9653657005336402,0.9012846187661798,9557.0,Conifer vs Broadleaf,1
Broadleaf,0.9615384615384616,0.8304064224786754,0.8911744117171935,9965.0,Conifer vs Broadleaf,1
accuracy,0.8964757709251101,0.8964757709251101,0.8964757709251101,0.8964757709251101,Conifer vs Broadleaf,1
macro avg,0.9033599233306085,0.8978860615061578,0.8962295152416866,19522.0,Conifer vs Broadleaf,1
weighted avg,0.9045758255736577,0.8964757709251101,0.8961238661156753,19522.0,Conifer vs Broadleaf,1
Pine,0.7852203121912665,0.9414830608860459,0.8562809739280327,4221.0,Conifer,1
Nut Pine,0.8334946757018393,0.4704918032786885,0.6014669926650367,1830.0,Conifer,1
Larch,0.9083652618135377,0.8960629921259843,0.9021721896305692,3175.0,Conifer,1
accuracy,0.8324300888792543,0.8324300888792543,0.8324300888792543,0.8324300888792543,Conifer,1
macro avg,0.8423600832355479,0.7693459520969063,0.7866400520745462,9226.0,Conifer,1
weighted avg,0.8371742792707223,0.8324300888792543,0.8215308139610124,9226.0,Conifer,1
Mongolian Oak,0.8526841448189763,0.6397527163731734,0.7310285775446859,5338.0,Broadleaf,1
Oriental Oak,0.5496487119437939,0.7991147429349676,0.6513112251977244,2937.0,Broadleaf,1
accuracy,0.6963141993957704,0.6963141993957704,0.6963141993957704,0.6963141993957704,Broadleaf,1
macro avg,0.7011664283813851,0.7194337296540705,0.6911699013712052,8275.0,Broadleaf,1
weighted avg,0.7451294540208603,0.6963141993957704,0.702734938409577,8275.0,Broadleaf,1
Non-Forest,0.9476764199655766,0.9722761787038672,0.9598187047851477,5663.0,Overall,2
Pine,0.8675282714054927,0.5754393484783541,0.6919211441824508,4666.0,Overall,2
Nut Pine,0.7652897854626961,0.8868274582560297,0.8215881746304572,5390.0,Overall,2
Larch,0.962695152013147,0.891086096744752,0.9255075440398136,6574.0,Overall,2
Mongolian Oak,0.6197321136883371,0.88921875,0.7304113456972342,6400.0,Overall,2
Oriental Oak,0.6736196319018405,0.4404332129963899,0.5326218772738297,4986.0,Overall,2
accuracy,0.7932539564713916,0.7932539564713916,0.7932539564713916,0.7932539564713916,Overall,2
macro avg,0.8060902290728483,0.7758801741965654,0.7769781317681556,33679.0,Overall,2
weighted avg,0.8074230638050235,0.7932539564713916,0.7870450290174626,33679.0,Overall,2
Conifer,0.979610448830695,0.916336603497654,0.9469177003967004,16411.0,Conifer vs Broadleaf,2
Broadleaf,0.8889248442682631,0.9723033359879657,0.9287465133970079,11301.0,Conifer vs Broadleaf,2
accuracy,0.9391599307159353,0.9391599307159353,0.9391599307159353,0.9391599307159353,Conifer vs Broadleaf,2
macro avg,0.934267646549479,0.9443199697428099,0.9378321068968541,27712.0,Conifer vs Broadleaf,2
weighted avg,0.9426287074493425,0.9391599307159353,0.9395074599130281,27712.0,Conifer vs Broadleaf,2
Pine,0.9031281533804238,0.7101295953451467,0.7950843944329287,3781.0,Conifer,2
Nut Pine,0.7890392868933641,0.9363369245837414,0.856400609155245,5105.0,Conifer,2
Larch,0.9751956051273514,0.9522106631989596,0.9635660827370672,6152.0,Conifer,2
accuracy,0.8859555791993616,0.8859555791993616,0.8859555791993616,0.8859555791993616,Conifer,2
macro avg,0.8891210151337132,0.8662257277092826,0.871683695441747,15038.0,Conifer,2
weighted avg,0.8938806004964406,0.8859555791993616,0.884824959840861,15038.0,Conifer,2
Mongolian Oak,0.6865725660513934,0.9187923797223119,0.7858869018849686,6194.0,Broadleaf,2
Oriental Oak,0.8136346795109299,0.45807259073842305,0.586147070599226,4794.0,Broadleaf,2
accuracy,0.7177830360393156,0.7177830360393156,0.7177830360393156,0.7177830360393156,Broadleaf,2
macro avg,0.7501036227811617,0.6884324852303675,0.6860169862420973,10988.0,Broadleaf,2
weighted avg,0.7420090214504668,0.7177830360393156,0.6987415841580074,10988.0,Broadleaf,2
Non-Forest,0.9775695627484384,0.9483542211816555,0.9627403005941978,7261.0,Overall,3
Pine,0.7287739783152627,0.756013151064198,0.7421437064718872,5779.0,Overall,3
Nut Pine,0.7374154770848985,0.5790560471976401,0.6487111698612029,3390.0,Overall,3
Larch,0.9404015056461732,0.8577150486362769,0.8971571072319202,5243.0,Overall,3
Mongolian Oak,0.6777059773828756,0.7414280664545776,0.7081363943281567,5658.0,Overall,3
Oriental Oak,0.5553892215568862,0.6333760136577038,0.5918245264207378,4686.0,Overall,3
accuracy,0.7770247056251366,0.7770247056251366,0.7770247056251366,0.7770247056251366,Overall,3
macro avg,0.7695426204557557,0.752657091365342,0.7584522008180171,32017.0,Overall,3
weighted avg,0.7863664706083918,0.7770247056251366,0.7796532102095208,32017.0,Overall,3
Conifer,0.9766263237518911,0.9041316526610644,0.9389818181818181,14280.0,Conifer vs Broadleaf,3
Broadleaf,0.8796800843733521,0.9700523357239775,0.9226585545722714,10318.0,Conifer vs Broadleaf,3
accuracy,0.9317830717944549,0.9317830717944549,0.9317830717944549,0.9317830717944549,Conifer vs Broadleaf,3
macro avg,0.9281532040626216,0.937091994192521,0.9308201863770448,24598.0,Conifer vs Broadleaf,3
weighted avg,0.9359607697268578,0.9317830717944549,0.9321347804582917,24598.0,Conifer vs Broadleaf,3
Pine,0.7727272727272727,0.8704921299063558,0.8187013960460976,5019.0,Conifer,3
Nut Pine,0.7475247524752475,0.6255576800509879,0.6811242192921583,3138.0,Conifer,3
Larch,0.9710645648887929,0.9459402608329828,0.9583377730420884,4754.0,Conifer,3
accuracy,0.8387421578498955,0.8387421578498955,0.8387421578498955,0.8387421578498955,Conifer,3
macro avg,0.830438863363771,0.813996690263442,0.8193877961267814,12911.0,Conifer,3
weighted avg,0.8396322358118526,0.8387421578498955,0.8366794113497209,12911.0,Conifer,3
