class,precision,recall,f1-score,support,Category,patch_size,data_type
Oriental Oak,0.8535727411140862,0.887300114610053,0.8701097136740702,18323.0,Overall,5,train_data
accuracy,0.9185329964835615,0.9185329964835615,0.9185329964835615,0.9185329964835615,Overall,5,train_data
macro avg,0.9127191501493658,0.9169144286528624,0.9144794921122089,117164.0,Overall,5,train_data
weighted avg,0.9193953260753058,0.9185329964835615,0.9186054020318196,117164.0,Overall,5,train_data
Conifer,0.9653264975715057,0.9862746642511127,0.9756881538191806,50782.0,Conifer vs Broadleaf,5,train_data
Broadleaf,0.9829229449957123,0.9570818522317914,0.9698302954116909,41917.0,Conifer vs Broadleaf,5,train_data
accuracy,0.9730741431946407,0.9730741431946407,0.9730741431946407,0.9730741431946407,Conifer vs Broadleaf,5,train_data
macro avg,0.974124721283609,0.971678258241452,0.9727592246154357,92699.0,Conifer vs Broadleaf,5,train_data
weighted avg,0.9732833286773479,0.9730741431946407,0.9730393242647437,92699.0,Conifer vs Broadleaf,5,train_data
Pine,0.9380515457892584,0.9358637980292694,0.9369563948397642,17151.0,Conifer,5,train_data
Nut Pine,0.9108527131782945,0.9250418760469011,0.9178924623950802,11940.0,Conifer,5,train_data
Larch,0.971172294704528,0.9644184052586453,0.9677835667511113,20994.0,Conifer,5,train_data
accuracy,0.9452530697813717,0.9452530697813717,0.9452530697813717,0.9452530697813717,Conifer,5,train_data
macro avg,0.9400255178906937,0.9417746931116054,0.9408774746619852,50085.0,Conifer,5,train_data
weighted avg,0.9454506261796399,0.9452530697813717,0.9453333998056681,50085.0,Conifer,5,train_data
Mongolian Oak,0.9437433550594,0.9016473082188756,0.9222151955912911,22643.0,Broadleaf,5,train_data
Oriental Oak,0.8795239383283744,0.9303576537911302,0.9042269187986652,17475.0,Broadleaf,5,train_data
accuracy,0.91415324791864,0.91415324791864,0.91415324791864,0.91415324791864,Broadleaf,5,train_data
macro avg,0.9116336466938872,0.9160024810050029,0.9132210571949781,40118.0,Broadleaf,5,train_data
weighted avg,0.9157700187172425,0.91415324791864,0.9143796819328053,40118.0,Broadleaf,5,train_data
Non-Forest,0.9680340969632392,0.9644373673036093,0.9662323850039882,3768.0,Overall,5,validation
Pine,0.84282575629542,0.8466893039049236,0.8447531125603457,5890.0,Overall,5,validation
Nut Pine,0.9085903083700441,0.9199888486200167,0.9142540518077296,7174.0,Overall,5,validation
Larch,0.946325558063707,0.9627455983669303,0.9544649633189982,7838.0,Overall,5,validation
Mongolian Oak,0.7830656057649001,0.8285941223193011,0.8051867860450757,6295.0,Overall,5,validation
Oriental Oak,0.803448275862069,0.7239574816026165,0.7616344086021506,6115.0,Overall,5,validation
accuracy,0.8740560949298813,0.8740560949298813,0.8740560949298813,0.8740560949298813,Overall,5,validation
macro avg,0.8753816002198965,0.8744021203528997,0.874420951223048,37080.0,Overall,5,validation
weighted avg,0.8735115149264869,0.8740560949298813,0.8733106698110659,37080.0,Overall,5,validation
Conifer,0.9630684515332764,0.9754784113857101,0.9692337091534492,20798.0,Conifer vs Broadleaf,5,validation
Broadleaf,0.9579416130628402,0.9372276908181378,0.9474714518760197,12394.0,Conifer vs Broadleaf,5,validation
accuracy,0.9611954687876597,0.9611954687876597,0.9611954687876597,0.9611954687876597,Conifer vs Broadleaf,5,validation
macro avg,0.9605050322980583,0.956353051101924,0.9583525805147344,33192.0,Conifer vs Broadleaf,5,validation
weighted avg,0.9611540734902966,0.9611954687876597,0.9611076120006274,33192.0,Conifer vs Broadleaf,5,validation
Pine,0.899044528574004,0.9128683873329673,0.9059037238873752,5463.0,Conifer,5,validation
Nut Pine,0.9363030217052064,0.9290540540540541,0.932664452766198,7104.0,Conifer,5,validation
Larch,0.9810192407696308,0.9773345421577516,0.9791734250308183,7721.0,Conifer,5,validation
accuracy,0.9430697949526814,0.9430697949526814,0.9430697949526814,0.9430697949526814,Conifer,5,validation
macro avg,0.9387889303496136,0.9397523278482577,0.9392472005614638,20288.0,Conifer,5,validation
weighted avg,0.943287977315452,0.9430697949526814,0.943158435070522,20288.0,Conifer,5,validation
Mongolian Oak,0.8179394699702054,0.8652952886529529,0.8409512293430069,6028.0,Broadleaf,5,validation
Oriental Oak,0.8450085894254629,0.7922333571939871,0.8177703888427081,5588.0,Broadleaf,5,validation
accuracy,0.8301480716253443,0.8301480716253443,0.8301480716253443,0.8301480716253443,Broadleaf,5,validation
macro avg,0.8314740296978341,0.82876432292347,0.8293608090928575,11616.0,Broadleaf,5,validation
weighted avg,0.8309613569808785,0.8301480716253443,0.8297998401629388,11616.0,Broadleaf,5,validation
Non-Forest,0.9735983024565412,0.9903287398306492,0.9818922589406971,24092.0,Overall,7,train_data
Pine,0.9172360525221318,0.8674495701522729,0.8916483770359248,17797.0,Overall,7,train_data
Nut Pine,0.8616543642036375,0.9404485049833887,0.8993288590604026,12040.0,Overall,7,train_data
Larch,0.9633538551744356,0.9259815893293256,0.944298098567939,21292.0,Overall,7,train_data
Mongolian Oak,0.9397669303130997,0.8501270110076207,0.8927023362304666,23620.0,Overall,7,train_data
Oriental Oak,0.8206972617848751,0.9340173552365879,0.8736981825607515,18323.0,Overall,7,train_data
accuracy,0.9177733774879656,0.9177733774879656,0.9177733774879656,0.9177733774879656,Overall,7,train_data
macro avg,0.9127177944091202,0.9180587950899741,0.9139280187326969,117164.0,Overall,7,train_data
weighted avg,0.92093953757626,0.9177733774879656,0.91796737928995,117164.0,Overall,7,train_data
Conifer,0.9817751338015559,0.9757375622874318,0.9787470371802882,50572.0,Conifer vs Broadleaf,7,train_data
Broadleaf,0.9708993454131487,0.9781138747521085,0.9744932573169716,41853.0,Conifer vs Broadleaf,7,train_data
accuracy,0.976813632675142,0.976813632675142,0.976813632675142,0.976813632675142,Conifer vs Broadleaf,7,train_data
macro avg,0.9763372396073523,0.9769257185197702,0.9766201472486299,92425.0,Conifer vs Broadleaf,7,train_data
weighted avg,0.9768502285116452,0.976813632675142,0.9768207894267648,92425.0,Conifer vs Broadleaf,7,train_data
Pine,0.9514359669665968,0.9126270986048711,0.9316275420916057,16916.0,Conifer,7,train_data
Nut Pine,0.875173906322461,0.9567384875369667,0.9141403947846445,11835.0,Conifer,7,train_data
Larch,0.9769585253456221,0.9573662231717976,0.9670631514408338,20594.0,Conifer,7,train_data
accuracy,0.9418786097882258,0.9418786097882258,0.9418786097882258,0.9418786097882258,Conifer,7,train_data
macro avg,0.9345227995448934,0.9422439364378784,0.9376103627723613,49345.0,Conifer,7,train_data
weighted avg,0.9437968967372787,0.9418786097882258,0.9422223450211854,49345.0,Conifer,7,train_data
Mongolian Oak,0.9651526075462629,0.8693393367391116,0.9147438671616974,23098.0,Broadleaf,7,train_data
Oriental Oak,0.8500894098946951,0.9593587084477829,0.9014247715361724,17839.0,Broadleaf,7,train_data
accuracy,0.9085668221901947,0.9085668221901947,0.9085668221901947,0.9085668221901947,Broadleaf,7,train_data
macro avg,0.907621008720479,0.9143490225934472,0.908084319348935,40937.0,Broadleaf,7,train_data
weighted avg,0.9150118453285547,0.9085668221901947,0.9089398427616745,40937.0,Broadleaf,7,train_data
Non-Forest,0.9577464788732394,0.9745222929936306,0.9660615627466456,3768.0,Overall,7,validation
Pine,0.8813775510204082,0.8212224108658743,0.8502373000527335,5890.0,Overall,7,validation
Nut Pine,0.90710308298248,0.9310008363534987,0.91889660865378,7174.0,Overall,7,validation
Larch,0.9670749374423812,0.9368461342179127,0.9517205625040502,7838.0,Overall,7,validation
Mongolian Oak,0.8047493403693932,0.8236695790309769,0.8140995446694929,6295.0,Overall,7,validation
Oriental Oak,0.7664727158358232,0.797056418642682,0.7814654481321148,6115.0,Overall,7,validation
accuracy,0.8789104638619202,0.8789104638619202,0.8789104638619202,0.8789104638619202,Overall,7,validation
macro avg,0.880754017753954,0.8807196120174292,0.880413504459803,37080.0,Overall,7,validation
weighted avg,0.8802716057134751,0.8789104638619202,0.8792660613309402,37080.0,Overall,7,validation
Conifer,0.9793556612563135,0.9619960502865951,0.9705982407542402,20761.0,Conifer vs Broadleaf,7,validation
Broadleaf,0.9381516030414674,0.9660182419888611,0.9518810148731409,12389.0,Conifer vs Broadleaf,7,validation
accuracy,0.963499245852187,0.963499245852187,0.963499245852187,0.963499245852187,Conifer vs Broadleaf,7,validation
macro avg,0.9587536321488904,0.9640071461377281,0.9612396278136905,33150.0,Conifer vs Broadleaf,7,validation
weighted avg,0.9639566544019024,0.963499245852187,0.9636031363367157,33150.0,Conifer vs Broadleaf,7,validation
Pine,0.9188829787234043,0.8974025974025974,0.9080157687253614,5390.0,Conifer,7,validation
Nut Pine,0.9230237700386954,0.9488563716436994,0.9357618213660246,7039.0,Conifer,7,validation
Larch,0.9827355460385439,0.9734853506562375,0.978088578088578,7543.0,Conifer,7,validation
accuracy,0.9442719807730823,0.9442719807730823,0.9442719807730823,0.9442719807730823,Conifer,7,validation
macro avg,0.9415474316002145,0.939914773234178,0.940622056059988,19972.0,Conifer,7,validation
weighted avg,0.9444581312031978,0.9442719807730823,0.9442596934982621,19972.0,Conifer,7,validation
Mongolian Oak,0.8426783682756379,0.846392425726412,0.8445313136248881,6126.0,Broadleaf,7,validation
Oriental Oak,0.8381771281169389,0.8343033207805546,0.8362357381830658,5842.0,Broadleaf,7,validation
accuracy,0.8404913101604278,0.8404913101604278,0.8404913101604278,0.8404913101604278,Broadleaf,7,validation
macro avg,0.8404277481962884,0.8403478732534833,0.8403835259039769,11968.0,Broadleaf,7,validation
weighted avg,0.8404811552904173,0.8404913101604278,0.8404819526847873,11968.0,Broadleaf,7,validation
Non-Forest,0.9863974138292959,0.9752199900381869,0.9807768570891862,24092.0,Overall,9,train_data
Pine,0.8850933377128155,0.9084677192785301,0.8966282165039928,17797.0,Overall,9,train_data
Nut Pine,0.8566952629615815,0.9538205980066445,0.9026527805069758,12040.0,Overall,9,train_data
Larch,0.9753426027808343,0.9158839000563592,0.9446785835392143,21292.0,Overall,9,train_data
Mongolian Oak,0.9455503239942193,0.8587214225232853,0.9000465931530252,23620.0,Overall,9,train_data
Oriental Oak,0.8442752620130513,0.9320526114719205,0.8859951752224327,18323.0,Overall,9,train_data
accuracy,0.9218616639923526,0.9218616639923526,0.9218616639923526,0.9218616639923526,Overall,9,train_data
macro avg,0.9155590338819662,0.9240277068958211,0.9184630343358045,117164.0,Overall,9,train_data
weighted avg,0.925211264281912,0.9218616639923526,0.9223088526681424,117164.0,Overall,9,train_data
Conifer,0.9773952797749297,0.9837571038090182,0.9805658731636563,50853.0,Conifer vs Broadleaf,9,train_data
Broadleaf,0.980127033009335,0.9723833393006326,0.9762398303358536,41895.0,Conifer vs Broadleaf,9,train_data
accuracy,0.9786194850562815,0.9786194850562815,0.9786194850562815,0.9786194850562815,Conifer vs Broadleaf,9,train_data
macro avg,0.9787611563921323,0.9780702215548254,0.9784028517497549,92748.0,Conifer vs Broadleaf,9,train_data
weighted avg,0.97862923416484,0.9786194850562815,0.9786117656435934,92748.0,Conifer vs Broadleaf,9,train_data
Pine,0.9358647835147025,0.9386901997213191,0.9372753623188406,17224.0,Conifer,9,train_data
Nut Pine,0.881486030089039,0.9585976627712854,0.918426103646833,11980.0,Conifer,9,train_data
Larch,0.9887441058662475,0.9365125102050618,0.9619197948009669,20823.0,Conifer,9,train_data
accuracy,0.9425510224478781,0.9425510224478781,0.9425510224478781,0.9425510224478781,Conifer,9,train_data
macro avg,0.935364973156663,0.9446001242325553,0.9392070869222134,50027.0,Conifer,9,train_data
weighted avg,0.9448529031958101,0.9425510224478781,0.943019398512989,50027.0,Conifer,9,train_data
Mongolian Oak,0.9619178601915963,0.8873867961674761,0.9231504448945224,22857.0,Broadleaf,9,train_data
Oriental Oak,0.869020964787299,0.9550919970918852,0.9100258439240134,17881.0,Broadleaf,9,train_data
accuracy,0.9171044233884825,0.9171044233884825,0.9171044233884825,0.9171044233884825,Broadleaf,9,train_data
macro avg,0.9154694124894476,0.9212393966296806,0.9165881444092678,40738.0,Broadleaf,9,train_data
weighted avg,0.9211429231125978,0.9171044233884825,0.917389705782301,40738.0,Broadleaf,9,train_data
Non-Forest,0.9694615590677739,0.9604564755838642,0.9649380082655645,3768.0,Overall,9,validation
Pine,0.8411588411588412,0.8577249575551783,0.8493611297915267,5890.0,Overall,9,validation
Nut Pine,0.9118685497012493,0.9360189573459715,0.923785940294401,7174.0,Overall,9,validation
Larch,0.979183563125169,0.9242153610614953,0.9509057495405618,7838.0,Overall,9,validation
Mongolian Oak,0.8174114021571649,0.8427323272438443,0.8298787641767698,6295.0,Overall,9,validation
Oriental Oak,0.8039086877976679,0.8004905968928864,0.8021960013110456,6115.0,Overall,9,validation
accuracy,0.8853829557713053,0.8853829557713053,0.8853829557713053,0.8853829557713053,Overall,9,validation
macro avg,0.8871654338346443,0.88693977928054,0.8868442655633116,37080.0,Overall,9,validation
weighted avg,0.8868783407439824,0.8853829557713053,0.8858839924136327,37080.0,Overall,9,validation
Conifer,0.9768352838765838,0.9705924751333429,0.9737038733158186,20811.0,Conifer vs Broadleaf,9,validation
Broadleaf,0.9511182108626198,0.9613304270606281,0.9561970530372988,12387.0,Conifer vs Broadleaf,9,validation
accuracy,0.9671365744924393,0.9671365744924393,0.9671365744924393,0.9671365744924393,Conifer vs Broadleaf,9,validation
macro avg,0.9639767473696018,0.9659614510969855,0.9649504631765587,33198.0,Conifer vs Broadleaf,9,validation
weighted avg,0.9672396039132135,0.9671365744924393,0.967171642976942,33198.0,Conifer vs Broadleaf,9,validation
Pine,0.8832167832167832,0.9312442396313364,0.9065948855989233,5425.0,Conifer,9,validation
Nut Pine,0.934455886445867,0.9431179775280899,0.93876695092968,7120.0,Conifer,9,validation
Larch,0.9932812285753462,0.9464332375228639,0.9692914966213955,7654.0,Conifer,9,validation
accuracy,0.9411852071884746,0.9411852071884746,0.9411852071884746,0.9411852071884746,Conifer,9,validation
macro avg,0.9369846327459989,0.9402651515607635,0.9382177777166664,20199.0,Conifer,9,validation
weighted avg,0.9429848746948523,0.9411852071884746,0.9416929085664459,20199.0,Conifer,9,validation
Mongolian Oak,0.8509785049727302,0.8719592373438527,0.8613411268062998,6084.0,Broadleaf,9,validation
Oriental Oak,0.8627070849488897,0.8404876373626373,0.8514524265089581,5824.0,Broadleaf,9,validation
accuracy,0.856567013772254,0.856567013772254,0.856567013772254,0.856567013772254,Broadleaf,9,validation
macro avg,0.85684279496081,0.856223437353245,0.856396776657629,11908.0,Broadleaf,9,validation
weighted avg,0.8567147536946947,0.856567013772254,0.8565047319010497,11908.0,Broadleaf,9,validation
Non-Forest,0.9800049883604922,0.9871037976803584,0.9835415840964559,23883.0,Overall,11,train_data
Pine,0.9164146745021966,0.9091011999094408,0.9127432873987782,17668.0,Overall,11,train_data
Nut Pine,0.9192825112107623,0.9378639161537182,0.9284802569275744,12022.0,Overall,11,train_data
Larch,0.9685879102234718,0.9440585872903379,0.9561659568359094,21165.0,Overall,11,train_data
Mongolian Oak,0.951658010387535,0.9110535038884875,0.9309131964045334,23531.0,Overall,11,train_data
Oriental Oak,0.889659067570343,0.9514579100543628,0.9195213203491921,18211.0,Overall,11,train_data
accuracy,0.9414320054945055,0.9414320054945055,0.9414320054945055,0.9414320054945055,Overall,11,train_data
macro avg,0.9376011937091335,0.940106485829451,0.9385609336687407,116480.0,Overall,11,train_data
weighted avg,0.9421660113129002,0.9414320054945055,0.9415044245314803,116480.0,Overall,11,train_data
Conifer,0.9857719937118182,0.982448485810047,0.9841074337478644,50423.0,Conifer vs Broadleaf,11,train_data
Broadleaf,0.9788596135011824,0.9828508382702132,0.980851165685289,41693.0,Conifer vs Broadleaf,11,train_data
accuracy,0.9826305962047853,0.9826305962047853,0.9826305962047853,0.9826305962047853,Conifer vs Broadleaf,11,train_data
macro avg,0.9823158036065003,0.9826496620401302,0.9824792997165767,92116.0,Conifer vs Broadleaf,11,train_data
weighted avg,0.9826433529966109,0.9826305962047853,0.9826336009247613,92116.0,Conifer vs Broadleaf,11,train_data
Pine,0.9461592836946278,0.9501330967169477,0.9481420265045306,16905.0,Conifer,11,train_data
Nut Pine,0.928289148690927,0.9488344694100816,0.9384493736734779,11883.0,Conifer,11,train_data
Larch,0.9786931818181818,0.9629397590361446,0.9707525627945393,20750.0,Conifer,11,train_data
accuracy,0.9551859178812225,0.9551859178812225,0.9551859178812225,0.9551859178812225,Conifer,11,train_data
macro avg,0.9510472047345789,0.9539691083877248,0.952447987657516,49538.0,Conifer,11,train_data
weighted avg,0.9555001446864878,0.9551859178812225,0.9552878707942937,49538.0,Conifer,11,train_data
Mongolian Oak,0.9751637554585153,0.9278511144773859,0.9509192929539355,23105.0,Broadleaf,11,train_data
Oriental Oak,0.9122354427714015,0.9694511273988698,0.939973417961863,17873.0,Broadleaf,11,train_data
accuracy,0.9459954121723851,0.9459954121723851,0.9459954121723851,0.9459954121723851,Broadleaf,11,train_data
macro avg,0.9436995991149584,0.9486511209381279,0.9454463554578992,40978.0,Broadleaf,11,train_data
weighted avg,0.9477168880502282,0.9459954121723851,0.9461451306294367,40978.0,Broadleaf,11,train_data
Non-Forest,0.9518428840462739,0.9497986577181208,0.9508196721311475,3725.0,Overall,11,validation
Pine,0.8594495412844037,0.7972765957446809,0.8271964679911701,5875.0,Overall,11,validation
