class,precision,recall,f1-score,support,Category,dataset
Mongolian Oak,0.7096480582524272,0.75439445250766,0.7313374501680606,6201.0,Overall,1
Oriental Oak,0.4906386252885355,0.5015731515469324,0.4960456372358356,3814.0,Overall,1
accuracy,0.7584101520411828,0.7584101520411828,0.7584101520411828,0.7584101520411828,Overall,1
macro avg,0.7528689704736763,0.7353436684697284,0.74218375844117,25059.0,Overall,1
weighted avg,0.7620598350706724,0.7584101520411828,0.7588972252081543,25059.0,Overall,1
Conifer,0.9384683001867926,0.8947203016970459,0.9160722904488657,9546.0,Conifer vs Broadleaf,1
Broadleaf,0.9035786241964885,0.9438765283623973,0.923288074114014,9978.0,Conifer vs Broadleaf,1
accuracy,0.9198422454415078,0.9198422454415078,0.9198422454415078,0.9198422454415078,Conifer vs Broadleaf,1
macro avg,0.9210234621916406,0.9192984150297216,0.9196801822814399,19524.0,Conifer vs Broadleaf,1
weighted avg,0.9206374670055156,0.9198422454415078,0.9197600127092043,19524.0,Conifer vs Broadleaf,1
Pine,0.9002175095160413,0.8559979317476732,0.8775510204081632,3868.0,Conifer,1
Nut Pine,0.8108825481088254,0.6826815642458101,0.7412799514710343,1790.0,Conifer,1
Larch,0.799761620977354,0.9309746791536594,0.860394293957365,2883.0,Conifer,1
accuracy,0.8449830230652149,0.8449830230652149,0.8449830230652149,0.8449830230652149,Conifer,1
macro avg,0.836953892867407,0.8232180583823809,0.8264084219455209,8541.0,Conifer,1
weighted avg,0.8475862125278724,0.8449830230652149,0.8432004694474899,8541.0,Conifer,1
Mongolian Oak,0.7546378448136796,0.7817513368983957,0.7679553476155299,5984.0,Broadleaf,1
Oriental Oak,0.5942839391115253,0.5570762958648806,0.5750789117691267,3434.0,Broadleaf,1
accuracy,0.6998301125504354,0.6998301125504354,0.6998301125504354,0.6998301125504354,Broadleaf,1
macro avg,0.6744608919626025,0.6694138163816381,0.6715171296923284,9418.0,Broadleaf,1
weighted avg,0.6961694532038688,0.6998301125504354,0.6976285605379604,9418.0,Broadleaf,1
Non-Forest,0.9759624073739381,0.9535581847077521,0.9646302250803859,5663.0,Overall,2
Pine,0.720357454228422,0.7083154736390913,0.7142857142857143,4666.0,Overall,2
Nut Pine,0.840841478963026,0.7341372912801484,0.7838748019017433,5390.0,Overall,2
Larch,0.8782865583456425,0.9044721630666261,0.8911870503597122,6574.0,Overall,2
Mongolian Oak,0.7522436368986317,0.79890625,0.7748730772145185,6400.0,Overall,2
Oriental Oak,0.6946073793755912,0.7362615322904131,0.7148281569467433,4986.0,Overall,2
accuracy,0.8133258113364411,0.8133258113364411,0.8133258113364411,0.8133258113364411,Overall,2
macro avg,0.8103831525308752,0.8059418158306718,0.8072798376314697,33679.0,Overall,2
weighted avg,0.815693045229411,0.8133258113364411,0.8136413742543391,33679.0,Overall,2
Conifer,0.9695745486680974,0.9296695315337127,0.9492028179458658,16522.0,Conifer vs Broadleaf,2
Broadleaf,0.9034963873432439,0.9575741572044715,0.9297495940517905,11361.0,Conifer vs Broadleaf,2
accuracy,0.9410393429688341,0.9410393429688341,0.9410393429688341,0.9410393429688341,Conifer vs Broadleaf,2
macro avg,0.9365354680056707,0.943621844369092,0.9394762059988282,27883.0,Conifer vs Broadleaf,2
weighted avg,0.9426508320374745,0.9410393429688341,0.9412765518819348,27883.0,Conifer vs Broadleaf,2
Pine,0.7662879666125667,0.813438346049717,0.7891595033428844,4063.0,Conifer,2
Nut Pine,0.8564935064935065,0.7795508274231678,0.8162128712871287,5076.0,Conifer,2
Larch,0.9251594834292827,0.9557948882816267,0.9402277039848197,6221.0,Conifer,2
accuracy,0.8598958333333333,0.8598958333333333,0.8598958333333333,0.8598958333333333,Conifer,2
macro avg,0.849313652178452,0.8495946872515038,0.8485333595382777,15360.0,Conifer,2
weighted avg,0.8604431115704079,0.8598958333333333,0.8592843843245551,15360.0,Conifer,2
Mongolian Oak,0.8334148329258354,0.8265438086000647,0.8299651002353705,6186.0,Broadleaf,2
Oriental Oak,0.7738195615514334,0.782228851480929,0.7780014835223058,4693.0,Broadleaf,2
accuracy,0.8074271532309955,0.8074271532309955,0.8074271532309955,0.8074271532309955,Broadleaf,2
macro avg,0.8036171972386343,0.8043863300404969,0.8039832918788381,10879.0,Broadleaf,2
weighted avg,0.8077065317437352,0.8074271532309955,0.8075489541526044,10879.0,Broadleaf,2
Non-Forest,0.9657308009909166,0.9663958132488638,0.9660631926757073,7261.0,Overall,3
Pine,0.7628957666310922,0.742169925592663,0.7523901412156828,5779.0,Overall,3
