class,precision,recall,f1-score,support,Category,patch_size,data_type
Larch,0.889992774566474,0.8493363213239097,0.8691893799065008,5801.0,Overall,1,validation
Mongolian Oak,0.619271999057604,0.8353726362625139,0.7112704640779326,6293.0,Overall,1,validation
Oriental Oak,0.6915957978989494,0.44733861834654587,0.5432753708615777,6181.0,Overall,1,validation
accuracy,0.7206679751172616,0.7206679751172616,0.7206679751172616,0.7206679751172616,Overall,1,validation
macro avg,0.7452249448463647,0.7317882199414906,0.7292801944034139,30061.0,Overall,1,validation
weighted avg,0.7323262646648985,0.7206679751172616,0.7158467315151413,30061.0,Overall,1,validation
Conifer,0.9374736842105263,0.9361597757533286,0.9368162692847125,14270.0,Conifer vs Broadleaf,1,validation
Broadleaf,0.9270149014580996,0.9285026480500722,0.9277581783194355,12462.0,Conifer vs Broadleaf,1,validation
accuracy,0.9325901541224001,0.9325901541224001,0.9325901541224001,0.9325901541224001,Conifer vs Broadleaf,1,validation
macro avg,0.932244292834313,0.9323312119017004,0.9322872238020741,26732.0,Conifer vs Broadleaf,1,validation
weighted avg,0.9325979790384202,0.9325901541224001,0.9325935426047304,26732.0,Conifer vs Broadleaf,1,validation
Pine,0.6748987854251012,0.7966547192353644,0.7307397260273972,4185.0,Conifer,1,validation
Nut Pine,0.7481146304675717,0.6246851385390428,0.6808510638297872,3970.0,Conifer,1,validation
Larch,0.9653213166144201,0.9467717140661029,0.9559565386107878,5204.0,Conifer,1,validation
accuracy,0.8040272475484692,0.8040272475484692,0.8040272475484692,0.8040272475484692,Conifer,1,validation
macro avg,0.7961115775023643,0.7893705239468366,0.7891824428226574,13359.0,Conifer,1,validation
weighted avg,0.8097910496011491,0.8040272475484692,0.8036471520143313,13359.0,Conifer,1,validation
Mongolian Oak,0.6570428696412949,0.8672055427251733,0.7476356396217023,6062.0,Broadleaf,1,validation
Oriental Oak,0.7745098039215687,0.5019059720457433,0.6090979182729376,5509.0,Broadleaf,1,validation
accuracy,0.6932849364791288,0.6932849364791288,0.6932849364791288,0.6932849364791288,Broadleaf,1,validation
macro avg,0.7157763367814318,0.6845557573854583,0.67836677894732,11571.0,Broadleaf,1,validation
weighted avg,0.7129693531734034,0.6932849364791288,0.6816772689614011,11571.0,Broadleaf,1,validation
Non-Forest,0.9568362967504599,0.9586780244082235,0.957756275187693,24418.0,Overall,3,train_data
Pine,0.7668240850059032,0.5454259171783971,0.6374482441343352,19053.0,Overall,3,train_data
Nut Pine,0.5867146415721007,0.7956012610719111,0.6753751553190811,13322.0,Overall,3,train_data
Larch,0.9091983920548593,0.8395929775526246,0.8730104670435711,22898.0,Overall,3,train_data
