class,precision,recall,f1-score,support,Category,dataset
Oriental Oak,0.8066390041493776,0.8737078651685394,0.8388349514563107,4450.0,Broadleaf,3
accuracy,0.8495771244462343,0.8495771244462343,0.8495771244462343,0.8495771244462343,Broadleaf,3
macro avg,0.8483508009792271,0.8518484601289614,0.8489058653826768,9932.0,Broadleaf,3
weighted avg,0.8526849304927597,0.8495771244462343,0.8499522994515459,9932.0,Broadleaf,3
Non-Forest,0.9731100963977676,0.9729455529252621,0.9730278177052507,5914.0,Overall,4
Pine,0.7829712530173359,0.8715192965315095,0.8248757369090278,4094.0,Overall,4
Nut Pine,0.8155339805825242,0.7374045801526717,0.7745039085989176,2620.0,Overall,4
Larch,0.9249967502924736,0.945145437641121,0.9349625541978716,7529.0,Overall,4
Mongolian Oak,0.7267178578460327,0.6884909531803768,0.707088122605364,5361.0,Overall,4
Oriental Oak,0.6766123479458342,0.6624719101123595,0.6694674690587034,4450.0,Overall,4
accuracy,0.8345234917245061,0.8345234917245061,0.8345234917245061,0.8345234917245061,Overall,4
macro avg,0.816657047680328,0.8129962884238835,0.8139876015125225,29968.0,Overall,4
weighted avg,0.8331659225273347,0.8345234917245061,0.8332184581719814,29968.0,Overall,4
Conifer,0.9546361946719901,0.9832671582529778,0.9687401767315148,14104.0,Conifer vs Broadleaf,4
Broadleaf,0.9748078565328779,0.9326932897558983,0.9532856620909234,9791.0,Conifer vs Broadleaf,4
accuracy,0.9625444653693241,0.9625444653693241,0.9625444653693241,0.9625444653693241,Conifer vs Broadleaf,4
macro avg,0.964722025602434,0.957980224004438,0.9610129194112191,23895.0,Conifer vs Broadleaf,4
weighted avg,0.9629015531687449,0.9625444653693241,0.9624076739967992,23895.0,Conifer vs Broadleaf,4
Pine,0.8670716889428919,0.901693201920647,0.8840436075322101,3957.0,Conifer,4
Nut Pine,0.8363636363636363,0.755868544600939,0.7940813810110974,2556.0,Conifer,4
Larch,0.9560661023780733,0.9675050985723997,0.9617515880524395,7355.0,Conifer,4
accuracy,0.9097202192096914,0.9097202192096914,0.9097202192096914,0.9097202192096914,Conifer,4
macro avg,0.8865004758948672,0.8750222816979952,0.879958858865249,13868.0,Conifer,4
weighted avg,0.9086107809837904,0.9097202192096914,0.9086757639886799,13868.0,Conifer,4
Mongolian Oak,0.7528044054660412,0.7423572003218021,0.7475443037974684,4972.0,Broadleaf,4
Oriental Oak,0.6970915109955073,0.7086538461538462,0.7028251281439981,4160.0,Broadleaf,4
accuracy,0.7270039421813403,0.7270039421813403,0.7270039421813403,0.7270039421813403,Broadleaf,4
macro avg,0.7249479582307743,0.7255055232378241,0.7251847159707332,9132.0,Broadleaf,4
weighted avg,0.7274249003195868,0.7270039421813403,0.7271728878186646,9132.0,Broadleaf,4
