class,precision,recall,f1-score,support,Category,dataset
Larch,0.9133475220431743,0.9320508842693143,0.9226044226044227,3223.0,Conifer,1
accuracy,0.9005944517833554,0.9005944517833554,0.9005944517833554,0.9005944517833554,Conifer,1
macro avg,0.8962956377744383,0.8738698016286373,0.8831331195088218,9084.0,Conifer,1
weighted avg,0.8998040342037038,0.9005944517833554,0.8988987612090206,9084.0,Conifer,1
Mongolian Oak,0.8835463258785943,0.9201463982698387,0.9014750224105614,6011.0,Broadleaf,1
Oriental Oak,0.8557258791704238,0.7961409395973155,0.8248587570621468,3576.0,Broadleaf,1
accuracy,0.8738917283821842,0.8738917283821842,0.8738917283821842,0.8738917283821842,Broadleaf,1
macro avg,0.869636102524509,0.8581436689335771,0.8631668897363541,9587.0,Broadleaf,1
weighted avg,0.8731691570636972,0.8738917283821842,0.8728967638431336,9587.0,Broadleaf,1
Non-Forest,0.9689408480195428,0.980575666607805,0.9747235387045814,5663.0,Overall,2
Pine,0.8153880168030069,0.7903986283754822,0.8026988790945696,4666.0,Overall,2
Nut Pine,0.8722192560953906,0.9092764378478664,0.8903624307384866,5390.0,Overall,2
Larch,0.9484724122207022,0.9491937937328871,0.9488329658633011,6574.0,Overall,2
Mongolian Oak,0.8260167850225952,0.7996875,0.8126389329946014,6400.0,Overall,2
Oriental Oak,0.7495527728085868,0.7563176895306859,0.7529200359389039,4986.0,Overall,2
accuracy,0.8691172540752398,0.8691172540752398,0.8691172540752398,0.8691172540752398,Overall,2
macro avg,0.863431681828304,0.8642416193491211,0.8636961305557408,33679.0,Overall,2
weighted avg,0.8685533859793574,0.8691172540752398,0.8686980688013871,33679.0,Overall,2
Conifer,0.9569006972830008,0.9660173554220524,0.9614374150687,16479.0,Conifer vs Broadleaf,2
Broadleaf,0.9500089269773255,0.9368782463245003,0.9433978990292984,11359.0,Conifer vs Broadleaf,2
accuracy,0.9541274516847474,0.9541274516847474,0.9541274516847474,0.9541274516847474,Conifer vs Broadleaf,2
macro avg,0.9534548121301631,0.9514478008732763,0.9524176570489992,27838.0,Conifer vs Broadleaf,2
weighted avg,0.954088583664847,0.9541274516847474,0.9540765822972521,27838.0,Conifer vs Broadleaf,2
Pine,0.9019320127170457,0.8882466281310212,0.8950370100715933,4152.0,Conifer,2
Nut Pine,0.8961418906564271,0.925590179414542,0.9106280193236715,5295.0,Conifer,2
Larch,0.9809778336739506,0.9641532756489494,0.9724927920205719,6472.0,Conifer,2
accuracy,0.9315283623343175,0.9315283623343175,0.9315283623343175,0.9315283623343175,Conifer,2
macro avg,0.9263505790158079,0.9259966943981709,0.9260526071386123,15919.0,Conifer,2
weighted avg,0.9321428209915675,0.9315283623343175,0.9317131966890657,15919.0,Conifer,2
Mongolian Oak,0.8587248322147651,0.8488969978437552,0.8537826340812411,6029.0,Broadleaf,2
Oriental Oak,0.8054250320375907,0.8174723607197052,0.8114039806347498,4613.0,Broadleaf,2
accuracy,0.8352753241871829,0.8352753241871829,0.8352753241871829,0.8352753241871829,Broadleaf,2
macro avg,0.832074932126178,0.8331846792817301,0.8325933073579954,10642.0,Broadleaf,2
weighted avg,0.835620906428512,0.8352753241871829,0.8354127103499253,10642.0,Broadleaf,2
Non-Forest,0.952781112444978,0.9837487949318275,0.9680173465239192,7261.0,Overall,3
Pine,0.8601386481802427,0.8587991001903443,0.859468352238289,5779.0,Overall,3
Nut Pine,0.8915619389587074,0.7324483775811209,0.8042105263157895,3390.0,Overall,3
Larch,0.9285714285714286,0.9397291626931147,0.9341169779125984,5243.0,Overall,3
Mongolian Oak,0.7774931967344325,0.8584305408271474,0.8159596808063839,5658.0,Overall,3
Oriental Oak,0.7749320036264733,0.7296201451131029,0.7515937568696417,4686.0,Overall,3
accuracy,0.8680388543586219,0.8680388543586219,0.8680388543586219,0.8680388543586219,Overall,3
macro avg,0.8642463880860438,0.8504626868894429,0.8555611067777703,32017.0,Overall,3
weighted avg,0.8686062952332729,0.8680388543586219,0.8669818777148137,32017.0,Overall,3
Conifer,0.9744964497898855,0.9491214452049961,0.9616415829549924,14171.0,Conifer vs Broadleaf,3
Broadleaf,0.9319811320754717,0.9655947610204281,0.9484902309058615,10231.0,Conifer vs Broadleaf,3
accuracy,0.9560281944102942,0.9560281944102942,0.9560281944102942,0.9560281944102942,Conifer vs Broadleaf,3
macro avg,0.9532387909326786,0.9573581031127121,0.9550659069304269,24402.0,Conifer vs Broadleaf,3
weighted avg,0.9566710987720931,0.9560281944102942,0.956127629884971,24402.0,Conifer vs Broadleaf,3
Pine,0.8902242152466368,0.9465954606141522,0.9175448326862636,5243.0,Conifer,3
Nut Pine,0.9002900652646846,0.793544263342921,0.8435535926617972,3129.0,Conifer,3
Larch,0.9628688684776237,0.9702638834186688,0.9665522314860225,5078.0,Conifer,3
accuracy,0.9199256505576208,0.9199256505576208,0.9199256505576208,0.9199256505576208,Conifer,3
macro avg,0.917794382996315,0.9034678691252473,0.909216885611361,13450.0,Conifer,3
weighted avg,0.9199926608833224,0.9199256505576208,0.9188341249590235,13450.0,Conifer,3
Mongolian Oak,0.83568479008947,0.8822888283378747,0.8583546876380667,5505.0,Broadleaf,3
Oriental Oak,0.8406687976395377,0.7816643804298126,0.8100935908067765,4374.0,Broadleaf,3
accuracy,0.8377366130175119,0.8377366130175119,0.8377366130175119,0.8377366130175119,Broadleaf,3
macro avg,0.8381767938645039,0.8319766043838437,0.8342241392224216,9879.0,Broadleaf,3
weighted avg,0.8378914961350208,0.8377366130175119,0.8369867316161956,9879.0,Broadleaf,3
Non-Forest,0.9796761970375474,0.9617855935069327,0.9706484641638226,5914.0,Overall,4
Pine,0.7985290840205037,0.8751831949193942,0.835100804102086,4094.0,Overall,4
Nut Pine,0.8667908709827666,0.7103053435114504,0.7807845605202434,2620.0,Overall,4
