class,precision,recall,f1-score,support,Category,patch_size,data_type
Nut Pine,0.915051726650153,0.8935685828116107,0.904182564250234,7028.0,Conifer,3,validation
Larch,0.9897091108671789,0.9541005291005291,0.9715786637931034,7560.0,Conifer,3,validation
accuracy,0.9211222604962308,0.9211222604962308,0.9211222604962308,0.9211222604962308,Conifer,3,validation
macro avg,0.9159860388096321,0.919521279694885,0.9171669576712507,20031.0,Conifer,3,validation
weighted avg,0.9237036194982174,0.9211222604962308,0.9218901027108217,20031.0,Conifer,3,validation
Mongolian Oak,0.829929750040843,0.8448361882587727,0.8373166309543433,6013.0,Broadleaf,3,validation
Oriental Oak,0.8355077574047954,0.8198961937716263,0.8276283618581907,5780.0,Broadleaf,3,validation
accuracy,0.8326125667769015,0.8326125667769015,0.8326125667769015,0.8326125667769015,Broadleaf,3,validation
macro avg,0.8327187537228192,0.8323661910151995,0.832472496406267,11793.0,Broadleaf,3,validation
weighted avg,0.8326636500292807,0.8326125667769015,0.8325682043134749,11793.0,Broadleaf,3,validation
Non-Forest,0.9862770955246023,0.9934002988543915,0.9898258819636875,24092.0,Overall,5,train_data
Pine,0.9350110776572175,0.9248187896836545,0.9298870056497175,17797.0,Overall,5,train_data
Nut Pine,0.9333601933924255,0.9620431893687708,0.9474846625766871,12040.0,Overall,5,train_data
Larch,0.9711160566314693,0.9632256246477551,0.9671547475890688,21292.0,Overall,5,train_data
Mongolian Oak,0.9618185830942397,0.9225232853513972,0.9417612101566721,23620.0,Overall,5,train_data
Oriental Oak,0.9148657841033959,0.9542105550401135,0.9341240583426832,18323.0,Overall,5,train_data
accuracy,0.9538595473012188,0.9538595473012188,0.9538595473012188,0.9538595473012188,Overall,5,train_data
macro avg,0.9504081317338917,0.9533702904910136,0.9517062610464193,117164.0,Overall,5,train_data
weighted avg,0.9541982215996273,0.9538595473012188,0.9538494188984716,117164.0,Overall,5,train_data
Conifer,0.9859041718946048,0.9894150746650402,0.9876565031668876,50827.0,Conifer vs Broadleaf,5,train_data
Broadleaf,0.9871079053940716,0.9828450085894255,0.9849718446253721,41912.0,Conifer vs Broadleaf,5,train_data
accuracy,0.9864458318506777,0.9864458318506777,0.9864458318506777,0.9864458318506777,Conifer vs Broadleaf,5,train_data
macro avg,0.9865060386443382,0.9861300416272328,0.9863141738961299,92739.0,Conifer vs Broadleaf,5,train_data
weighted avg,0.9864481811941405,0.9864458318506777,0.9864432120079146,92739.0,Conifer vs Broadleaf,5,train_data
